113,"BAIBAKOV, Dimitry",The Cathedral of the Blood - In Honour of All the Saints Radiating in the Land of Russia (Site of Execution of Tsar Nicholas II and Family) ,25,46,2,8
114,"BAILEY, Colin",Renoir's Portraits - Impressions of an Age,2,22,2,6
115,"BAILEY, Ronald",Partisans and Guerillas,12,54,2,6
116,"BAILEY, Ronald",Prisoners of War,12,54,2,6
117,"BAILEY, Ronald",The Air War in Europe,12,54,2,6
118,"BAILEY, Ronald",The Home Front: USA,12,54,2,6
119,BAILEY/KEENE-YOUNG,Wild Kruger - A Visual Celebration of Africa's Premier National Park,25,1,2,6
120,"BAILYN, Bernard","The Barbarous Years - The Peopling of British North America: The Conflict of Civilizations, 1600 - 1675",12,3,2,6
121,"BAIN, Carolyn/AVERBUCK, Alexis",Iceland - Lonely Planet,25,22,2,6
122,"BAINBRIDGE, John",Garbo,4,8,2,6
123,"BALL, Edward",Slaves in the Family,6,2,2,6
124,"BALL, Liz",Yard & Garden Basics - Step-by-Step,1,30,2,4
125,"BALLARD, Bonnie/CHEEK, Ryan",Exotic Animal Medicine for the Veterniary Technician,24,49,2,8
126,"BALZAC, Honore De",Le Pere Goriot,8,22,3,6
127,BARNAO/ISRAEL,Australia's Sydney - A Celebration,25,40,2,6
128,"BARNES, Rachel (Editor)",Degas,2,22,2,6
129,"BARNES, Rachel (Editor)",Gauguin,2,22,2,6
130,BARNES/DWORKIN/RICHARDS,Law for Business,22,32,2,2
131,"BAROSIO, Guido",Morocco - Places and History,12,1,2,6
132,"BARR, Luke","Ritz and Escoffier - The Hotelier, The Chef & The Rise of The Leisure Class",9,22,2,6
133,"BARRES, Maurice",La Colline Inspiree,14,22,3,6
134,"BARRETT, Betty/POWER, Frances",The Golden Book of Dublin,25,22,2,6
135,"BARSKAYA, Anna/GEORGIEVSKAYA, Eugenia",Claude Monet - Paintings in Soviet Museums,2,22,2,6
136,"BARTENEV, Igor/BATAZHKOVA, Valentina","LENINGRAD - Architectural Landmarks, Art Museums, Suburban Palaces and Parks",25,46,2,6
137,"BARTHORP, Michael",The Zulu War,12,1,2,6
138,"BARTLETT, Richard",The New Country -  A Social History of the American Frontier 1776 - 1890,12,3,2,6
139,"BARZUN, Jacques",Berlioz and the Romantic Century - Volume One,16,8,2,6
140,"BARZUN, Jacques",Berlioz and the Romantic Century - Volume Two,16,8,2,6
141,"BARZUN, Jacques",From Dawn to Decadence - 1500 to the Present,12,44,2,6
142,"BASCOMB, Neal",Hunting Eichmann,12,22,2,6
143,"BAUDELAIRE, Charles",Les Fleurs du Mal,8,22,3,6
144,"BAUDOUIN, Frans",Rubens,2,22,2,6
145,"BAXTER, John",Fellini,4,8,2,6
146,"BEARD, Mary",The Fires of Vesuvius - Pompeii Lost and Found,12,5,2,6
147,"BEARE, Emma (Editor)",501 Must-Visit Destinations,25,44,2,6
148,BEATTY/JOHNSON/REISBORD/ CHOUDHURY,Heritage of Western Civilization Volume One - Ancient Civilizations and the Emergence of the West,12,44,2,7
149,"BEAUMARCHAIS, Pierre - Augustin",Le Marriage de Figaro,14,22,3,6
150,"BEAUVOIR, Simone De",Faut-il Bruler Sade?,18,22,3,6
151,"BEAUVOIR, Simone De",Memoires d'une Jeune Fille Rangee,6,45,3,6
152,"BECK, L. Adams",The Story of Oriental Philosophy,18,7,2,1
153,"BECKER, Elizabeth",Overbooked - The Exploding Business of Travel and Tourism,25,44,2,6
154,"BECKETT, Samuel",En Attendant Godot,14,22,3,6
155,"BEECHING, Jack",The Chinese Opium Wars,12,7,2,6
156,"BEENY, Emily A./GUEGAN, Stephane",Pas de Deux - An Exchange of Masterpieces,2,22,2,6
157,"BEHR, Edward",The Rise and Fall of the Ceausescus,12,22,2,6
158,"BEJOR, Giorgio",Ancient Greece - Monuments Past & Present,12,5,2,6
159,"BELL, Brian",New England - Insight Guides,25,3,2,6
160,"BELLERSON, Karen",The Complete Up-To-Date FAT Book,9,25,2,2
161,"BELLINI, Vincenzo/ROMANI, Felice",I Capuleti E I Montecchi - Bellini Opera Libretto,16,41,2,6
162,BENJAMIN/FRANCIA/STRAWSER,Principles of Accounting,15,23,2,3
163,"BENNANI-SMIRES, Latifa",Moroccan Cooking,9,18,2,4
164,"BENNETT, W. H.",Symbols of our Celto-Saxon Heritage,12,3,2,1
165,"BENTON, Barbara",Ellis Island - A Pictorial History,12,3,2,6
166,"BERCHIER, Louis Antonin",The Mysteries of the Mater Dei Facade at Macao,25,7,2,6
167,"BERGAMINI, John",The Spanish Bourbons - The History of a Tenacious Dynasty,12,22,2,6
168,"BERGAN, Ronald",Film,4,44,2,6
169,"BERGREEN, Laurence",Over the Edge of the World - Magellan's Terrifying Circumnavigation of the Globe,12,44,2,6
170,"BERINGER, HATTAWAY, JONES",Why the South Lost the Civil War,12,16,2,6
171,"BERKELEY, George",The Principles of Human Knowledge,18,22,2,1
172,BERLITZ,Latin American Spanish Phrase Book,22,31,2,9
173,"BERLITZ, Charles",Passport to Spanish,22,31,2,2
174,"BERNANOS, Georges",Journal d'un Cure de Campagne,8,22,3,6
175,"BERNARD, Bruce (Editor)",Century,12,37,2,6
176,BERNARDINO-PRINCIPE,Amazon Emotions,25,47,2,6
177,"BERRUER, Pierre",Les Annees 40,12,22,3,6
178,BERUBE/COSTELLO/JOST/ELLIS/SEVERYNSE,The American Heritage College Dictionary,22,19,2,7
179,"BETHELL, Nicholas",Russia Besieged,12,54,2,6
180,"BEZWINSKA, Jadwiga (Editor)",Amidst a Nightmare of Crime - Notes of Prisoners of the Sonderkommando found at Auschwitz,12,54,2,6
181,"BIANCOLLI, Louis (Editor)",The Analytical Concert Guide,16,44,2,9
182,"BIGGS, Fiona",A Pocket History of the Irish Famine - The Story of Ireland's Great Hunger,12,22,2,6
183,"BILLINGS, Evelyn",The Billings Method,22,25,2,9
184,BINDLOSS/HOLDEN/MAYHEW,Nepal,25,7,2,6
185,"BIRD, Kai/SHERWIN, Martin J.",American Promotheus - The Triumph and Tragedy of J. Robert Oppenheimer,3,3,2,6
186,"BIRD, Richard",Annuals - A Complete Guide to Successful Growing,1,30,2,4
187,"BISWAS, Asit",Water Resources,7,15,2,7
188,"BLAIR, Seabury Jr.",Olympic Peninsula,25,3,2,6
189,"BLAKE, Liam",Trinity College Dublin - A Pictorial Guide,25,22,2,8
190,BLANCHARD/ONCKEN/BURROWS,The One Minute Manager Meets the Monkey,15,11,2,6
191,"BLOND, Georges",La Grande Armee,12,22,2,6
192,"BLOOM, Harold",Genius - A Mosaic of One Hundred Exemplary Creative Minds,12,44,2,6
193,"BLOOM, Steve",Untamed - Animals around the World,25,44,2,6
194,"BLUMENSON, Martin",Liberation  ,12,54,2,6
195,BOARDMAR/GRIFFEN/MURRAY,The Oxford History of the Classical World,12,5,2,6
196,"BOISVERT, Paul",Vermont - A Seasonal Celebration,25,3,2,6
197,"BOKENKOTTER, Thomas",A Concise History of the Catholic Church,23,14,2,6
198,"BONAVENTURA, M. A.",Pompeii,25,22,2,6
199,"BOND, L. E.",Statue of Liberty,12,3,2,9
200,"BONETTI, Andres",Ushuaia - Fin Del Mundo,25,47,2,6
201,"BONHAM, Margaret H.",Introduction to Dog Agility,17,20,2,8
202,"BOORSTIN, Daniel",The Americans: The Democratic Experience,12,3,2,6
203,"BOORSTIN, Daniel",The Americans: The National Experience,12,3,2,6
204,"BOORSTIN, Daniel",The Creators,2,27,2,6
205,"BOORSTIN, Daniel",The Discoverers,12,44,2,6
206,"BOORSTIN, Daniel",The Seekers,18,27,2,6
207,"BORK, Robert H.",Slouching Towards Gomorrah,6,3,2,2
208,"BOSWELL, James","The Life of Samuel Johnson, LL.D.",8,22,2,1
209,"BOTTING, Douglas",The Aftermath: Europe,12,54,2,6
210,"BOTTING, Douglas",The Second Front,12,54,2,6
211,"BOUKREEV, Anatoly",The Climb,25,7,2,6
